time,price
41450,42.2450005
41451,42.7200005
41452,42.82
41453,42.88
41456,43.32
41457,43.294999
41458,42.9949995
41460,43.844999
41463,44.37
41464,44.599999
41465,44.975
41466,45.704999
41467,45.765
41470,45.905001
41471,45.999999
41472,45.779999
41473,45.7800015
41474,46.015001
41477,46.514999
41478,46.39
41479,46.715001
41480,46.6400005
41481,45.9549995
41484,45.4650005
41485,45.200001
41486,44.8849995
41487,45.7750025
41488,46.219999
41491,46.1
41492,46.004999
41493,46.080001
41494,46.1749995
41495,46.034999
41498,46.17
41499,46.685
41500,46.6400005
41501,47.275
41502,46.8
41505,46.535
41506,46.7299995
41507,46.91
41508,47.4299995
41509,47.8200005
41512,47.619999
41513,47.0249995
41514,46.809999
41515,46.7150005
41516,46.765
41520,46.9849995
41521,47.4000015
41522,47.7500005
41523,47.57
41526,47.7700015
41527,48.295001
41528,48.7800005
41529,48.7600015
41530,48.5300025
41533,48.8999995
41534,48.799999
41535,49.0449995
41536,51.95
41537,51.590002
41540,51.790001
41541,51.6049985
41542,51.7099985
41543,52.0249995
41544,51.735002
41547,51.1350005
41548,51.299999
41549,51.58
41550,51.3100005
41551,51.4749995
41554,51.235001
41555,50.655
41556,50.0900015
41557,50.6399985
41558,51.1700005
41561,51.2800005
41562,50.980001
41563,51.39
41564,51.9500025
41565,52.9599985
41568,52.5150015
41569,51.559999
41570,50.7049995
41571,50.8950015
41572,51.6050005
41575,51.640001
41576,51.6100005
41577,51.4549985
41578,50.955
41579,51.0099985
41582,51.299999
41583,51.195001
41584,51.115002
41585,50.564999
41586,50.4599985
41589,50.9649995
41590,51.200001
41591,51.0450015
41592,50.870001
41593,54.4800005
41596,54.250001
41597,53.744998
41598,53.6800025
41599,53.949999
41600,53.975
41603,53.6099995
41604,53.455
41605,53.7949995
41607,53.7100005
41610,53.3400005
41611,52.9249985
41612,53.209999
41613,53.4249995
41614,54.2950005
41617,54.9299995
41618,55.124999
41619,55.0949985
41620,54.944999
41621,55.26
41624,55.245001
41625,56.165001
41626,57.195001
41627,57.4749995
41628,57.2149995
41631,57.4950005
41632,57.3649995
41634,57.35
41635,57.2000005
41638,57.184999
41639,57.32
41641,56.655
41642,56.655
41645,57.02
41646,57.2000005
41647,57.8600005
41648,58.4050015
41649,58.72
41652,58.850001
41653,59.5200005
41654,60.08
41655,60.3700005
41656,60.770001
41660,60.7700005
41661,60.875001
41662,59.9749995
41663,58.545002
41666,58.0999995
41667,58.300001
41668,57.660002
41669,58.9650005
41670,58.38
41673,57.1499985
41674,57.065
41675,57.5050025
41676,57.9000005
41677,58.9400025
41680,59.1400015
41681,59.365001
41682,59.944999
41683,59.7650015
41684,56.2000015
41688,55.2650025
41689,55.4750005
41690,56.715001
41691,56.795001
41694,56.599999
41695,56.8449995
41696,57.039999
41697,56.69
41698,56.6900005
41701,56.4150015
41702,57.5000005
41703,57.755
41704,58.5800015
41705,58.740001
41708,58.2199985
41709,57.5449995
41710,56.789998
41711,56.5050005
41712,55.5249995
41715,55.7399995
41716,56.3800015
41717,56.6750015
41718,56.62
41719,56.6349985
41722,55.6699995
41723,55.3300005
41724,55.2850005
41725,55.1450005
41726,54.7699985
41729,55.445
41730,56.2800005
41731,56.545
41732,56.6850005
41733,56.3349995
41736,54.955001
41737,54.435001
41738,55.5049985
41739,54.8100005
41740,53.2300005
41743,52.9200015
41744,52.975
41745,53.6150015
41746,54.1949995
41750,54.649999
41751,54.834999
41752,54.93
41753,55.255
41754,54.82
41757,54.2899985
41758,53.2949985
41759,53.7349985
41760,54.2049995
41761,54.5200005
41764,54.8199995
41765,55.045002
41766,55.08
41767,55.1650015
41768,55.3250005
41771,55.995
41772,56.73
41773,56.315001
41774,54.545001
41775,54.71
41778,54.9349995
41779,54.5900005
41780,54.7849995
41781,55.269999
41782,55.9150005
41786,56.2949995
41787,56.7600005
41788,57.069999
41789,56.905001
41792,56.924999
41793,56.975001
41794,57.2350005
41795,58.0249995
41796,58.7949995
41799,59.1400015
41800,59.024999
41801,58.6200015
41802,58.6500025
41803,58.514999
41806,58.445001
41807,58.57
41808,59.0650015
41809,58.910002
41810,58.3050005
41813,58.410001
41814,57.8400025
41815,57.7900005
41816,57.905
41817,57.5099995
41820,57.47
41821,57.9950015
41822,58.09
41823,58.325002
41827,58.1600005
41828,57.495001
41829,56.974998
41830,56.4500015
41831,56.4650005
41834,56.8700005
41835,56.680001
41836,56.9199995
41837,55.8100005
41838,55.784999
41841,56.285
41842,57.36
41843,57.7900005
41844,57.220002
41845,56.524999
41848,56.3900005
41849,56.1599985
41850,56.500001
41851,56.154999
41852,55.92
41855,56.225002
41856,55.5700015
41857,55.4100025
41858,55.515
41859,55.2750015
41862,55.3199985
41863,54.6650005
41864,54.6300005
41865,55.2000015
41866,58.2650005
41869,58.1349995
41870,58.5399995
41871,58.3250015
41872,58.174999
41873,57.7699995
41876,57.8100015
41877,57.8
41878,57.69
41879,57.145002
41880,57.245
41884,57.65
41885,58.1349995
41886,57.9050005
41887,57.7500005
41890,57.6850005
41891,57.5700005
41892,57.6450005
41893,57.5550015
41894,58.104999
41897,58.2099995
41898,57.8650005
41899,58.4449985
41900,58.800002
41901,58.535
41904,57.8399995
41905,57.114999
41906,57.420001
41907,57.3749985
41908,56.645001
41911,56.595002
41912,57.0950005
41913,56.5250015
41914,55.980001
41915,56.5699985
41918,56.814999
41919,55.624997
41920,55.759998
41921,55.655001
41922,54.2749995
41925,53.2599985
41926,52.415001
41927,51.3299995
41928,51.245
41929,52.219999
41932,52.21
41933,53.4299995
41934,53.4100005
41935,53.649999
41936,53.8750015
41939,53.9650005
41940,54.390002
41941,54.545001
41942,54.1150005
41943,55.244998
41946,40.370001
41947,40.219999
41948,40.370001
41949,40.879999
41950,41.1599995
41953,41.2549995
41954,41.59
41955,41.375
41956,41.5
41957,41.4650005
41960,41.405001
41961,40.5249995
41962,40.8099995
41963,40.9099995
41964,42
41967,42.3449995
41968,42.5200005
41969,42.710001
41971,42.740002
41974,42.1399995
41975,41.789999
41976,42.105
41977,42.210001
41978,42.2649995
41981,41.869999
41982,41.195002
41983,40.8500005
41984,40.5599995
41985,39.960001
41988,39.375
41989,38.385
41990,39.049999
41991,40.5900005
41992,41.1400015
41995,41.630001
41996,41.6749995
41997,41.2749995
41999,41.3600005
42002,41.3450015
42003,41.289999
42004,41.164999
42006,40.8700005
42009,40.0599995
42010,39.4950005
42011,39.6100005
42012,40.5650005
42013,40.795
42016,40.360001
42017,40.01
42018,39.045
42019,38.67
42020,38.040001
42024,38.18
42025,37.955
42026,39.08
42027,39.2049995
42030,38.9700015
42031,38.7250005
42032,38.504999
42033,38.2299995
42034,37.889999
42037,38.2950005
42038,39.33
42039,39.2200015
42040,39.375
42041,39.4400005
42044,39.1350005
42045,39.4899995
42046,39.4850005
42047,39.800001
42048,40.0600015
42052,40.264999
42053,41.33
42054,41.275002
42055,41.5200005
42058,41.8099995
42059,41.84
42060,42.2700005
42061,42.2950005
42062,42.254999
42065,42.5200005
42066,42.3549995
42067,41.9750005
42068,42.1050015
42069,41.74
42072,41.6400015
42073,40.925001
42074,40.8199995
42075,41.045
42076,40.914999
42079,41.4850005
42080,41.550001
42081,41.785
42082,42.129999
42083,42.299999
42086,42.16
42087,41.6100005
42088,40.9899995
42089,40.6900005
42090,40.8549995
42093,41.6200005
42094,41.414999
42095,41.424999
42096,41.76
42100,41.805
42101,42.189999
42102,42.344999
42103,42.325001
42104,43.174999
42107,43.3150005
42108,43.0149995
42109,43.33
42110,43.135
42111,42.860001
42114,43.2600005
42115,43.1549985
42116,42.715
42117,42.5199985
42118,42.6000005
42121,42.360001
42122,42.0249995
42123,42
42124,41.6000005
42125,41.620001
42128,41.91
42129,41.6550005
42130,41.7250005
42131,41.6949995
42132,42.365
42135,42.504999
42136,42.1350005
42137,41.93
42138,42.1149995
42139,42.09
42142,42.34
42143,41.9699995
42144,42.5550005
42145,42.445
42146,42.385
42150,42.2700005
42151,42.4400005
42152,42.1000005
42153,41.49
42156,41.174999
42157,41.025
42158,41.2049995
42159,40.715
42160,40.425001
42163,40.1049995
42164,40.0249995
42165,40.460001
42166,40.5499995
42167,40.085001
42170,39.5750005
42171,39.6900005
42172,39.679998
42173,39.8500005
42174,39.6450005
42177,39.810001
42178,39.7449985
42179,39.83
42180,39.924999
42181,40.01
42184,39.17
42185,38.830002
42186,39.0749985
42187,39.4700015
42191,39.235001
42192,39.66
42193,39.115
42194,39.094999
42195,39.3450015
42198,39.84
42199,40.2700005
42200,40.2749995
